popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
38.645,8.087,447,9254.0,2021,2,6,5,1,2,148,8,49.369462870539984,49.369462870539984
24.147,8.1,4134,3837.0,1995,5,31,2,0,28,254,8,67.45066512040812,67.45066512040812
17.715,8.086,1557,409.0,1950,11,9,3,0,73,424,13,59.44146541891859,59.44146541891859
8.671,8.1,419,4106.0,1945,3,15,3,0,78,299,22,48.92606316134705,48.92606316134705
19.295,8.083,1104,4624.0,2020,9,25,4,0,3,180,43,56.64243576257283,56.64243576257283
20.294,8.082,2256,1763.0,1981,9,17,3,0,42,206,8,62.407521140239325,62.407521140239325
6.75,8.08,377,2375.0,2021,11,24,2,0,2,147,17,47.95394510060627,47.95394510060627
38.183,8.1,681,9432.0,2018,8,1,2,0,5,219,9,52.85274022853204,52.85274022853204
29.32,8.077,1070,9433.0,2017,12,20,2,0,6,277,9,56.347963365006464,56.347963365006464
12.957,8.1,2223,4340.0,1931,5,11,0,0,92,437,33,62.42720750850083,62.42720750850083
9.755,8.1,1017,6040.0,1924,4,17,3,0,99,161,12,56.09732109659479,56.09732109659479
13.672,8.1,1020,9459.0,2017,8,2,2,0,6,298,5,56.12115632713379,56.12115632713379
33.493,8.072,6748,8114.0,2007,12,26,2,0,16,384,19,71.17203177092877,71.17203177092877
31.934,8.072,1891,3883.0,1960,2,5,4,0,63,256,13,60.90638605886663,60.90638605886663
24.1,8.069,2999,2848.0,2022,11,9,2,0,1,138,30,64.60337990336984,64.60337990336984
10.636,8.1,555,9259.0,2019,8,30,4,0,4,891,20,51.19822318342971,51.19822318342971
13.408,8.1,583,5416.0,2009,1,24,5,1,14,271,17,51.59619796090864,51.59619796090864
51.032,8.069,8119,9037.0,1988,4,16,5,1,35,290,7,72.63782736013354,72.63782736013354
60.116,8.069,8138,5435.0,2005,9,16,4,0,18,367,17,72.6566859701079,72.6566859701079
22.112,8.1,2270,9317.0,1950,8,26,5,1,73,353,3,62.59660189105502,62.59660189105502
19.882,8.068,10215,8150.0,2017,12,1,4,0,6,444,41,74.48143948874343,74.48143948874343
22.027,8.1,632,938.0,2018,9,30,6,1,5,376,39,52.24881041936782,52.24881041936782
37.203,8.065,7161,7952.0,1982,6,25,4,0,41,249,9,71.58933180025332,71.58933180025332
38.376,8.1,11704,55.0,1968,4,2,1,0,55,169,21,75.87894817739259,75.87894817739259
7.653,8.064,670,8403.0,1977,8,11,3,0,46,145,24,52.48671432053965,52.48671432053965
19.151,8.1,1537,174.0,2019,5,3,4,0,4,86,15,59.43972901553127,59.43972901553127
21.028,8.058,6624,4201.0,2016,11,24,3,0,7,227,4,70.89916433458494,70.89916433458494
35.104,8.058,3924,9424.0,2003,4,25,4,0,20,133,6,66.68093009628463,66.68093009628463
43.122,8.056,9833,3005.0,2016,12,10,5,1,7,339,14,74.0636500424615,74.0636500424615
16.763,8.056,1583,9150.0,1985,6,1,5,1,38,354,1,59.354260259047926,59.354260259047926
8.543,8.0,491,4279.0,1950,12,9,5,1,73,174,13,49.58782973193846,49.58782973193846
7.181,8.0,468,4507.0,2020,1,17,4,0,3,145,48,49.20482214757023,49.20482214757023
39.301,8.047,2461,8313.0,2007,10,12,4,0,16,242,14,62.83684473137219,62.83684473137219
9.824,8.0,366,707.0,2017,10,27,4,0,6,239,4,47.242894784436565,47.242894784436565
4.466,8.044,386,1113.0,2016,6,3,4,0,7,222,22,47.92956823073157,47.92956823073157
19.319,8.044,3578,7006.0,1980,10,9,3,0,43,326,16,65.82275458940191,65.82275458940191
9.669,8.0,382,3644.0,2021,3,12,4,0,2,149,17,47.584279913445165,47.584279913445165
8.203,8.0,322,9280.0,1994,5,18,2,0,29,299,2,46.22121858578125,46.22121858578125
96.541,8.0,1475,3989.0,2024,6,28,4,0,-1,337,24,58.37672804128334,58.37672804128334
13.48,8.042,734,5518.0,2015,6,4,3,0,8,666,20,53.07615855466963,53.07615855466963
35.555,8.0,15003,7154.0,2014,2,26,2,0,9,400,24,76.92857688961422,76.92857688961422
15.411,8.0,812,3578.0,1961,12,18,0,0,62,388,21,53.60584887638248,53.60584887638248
28.231,8.035,1337,4810.0,2010,2,10,2,0,13,265,15,57.843412518929476,57.843412518929476
15.728,8.034,3740,1766.0,2006,3,23,3,0,17,270,21,66.09658755475301,66.09658755475301
28.03,8.034,4306,453.0,1984,9,19,2,0,39,184,7,67.22848697452473,67.22848697452473
6.585,8.0,1859,6443.0,2018,9,12,2,0,5,237,15,60.22665413365797,60.22665413365797
87.898,8.031,24368,8074.0,2013,12,25,2,0,10,200,23,81.1216699742158,81.1216699742158
16.225,8.0,2169,4124.0,1959,6,3,2,0,64,388,22,61.459859572276045,61.459859572276045
18.324,8.028,2657,7907.0,1973,12,25,1,0,50,178,9,63.30342313288518,63.30342313288518
17.922,8.0,969,4038.0,1953,4,22,2,0,70,223,21,55.01836857197943,55.01836857197943
9.66,8.0,515,1112.0,2021,7,22,3,0,2,157,18,49.9688541238525,49.9688541238525
10.702,8.023,605,5743.0,1960,10,7,4,0,63,122,23,51.402398128234104,51.402398128234104
29.436,8.021,987,3154.0,2019,12,3,1,0,4,445,36,55.31027091863566,55.31027091863566
36.16,8.0,302,9132.0,2024,6,28,4,0,-1,334,6,45.70986244407495,45.70986244407495
18.75,8.02,2637,1917.0,1954,5,29,5,1,69,174,17,63.17976619288362,63.17976619288362
5.622,8.018,388,8509.0,2020,2,14,4,0,3,194,36,47.815979177132704,47.815979177132704
18.725,8.0,326,5906.0,2015,7,9,3,0,8,503,43,46.31968136717803,46.31968136717803
38.903,8.0,4057,5276.0,1965,12,18,5,1,58,106,26,66.46756416308608,66.46756416308608
34.536,8.015,5595,2716.0,2017,4,7,4,0,6,105,6,69.16790579631976,69.16790579631976
28.593,8.0,3064,2493.0,2010,8,6,4,0,13,184,7,64.2224227869625,64.2224227869625
15.797,8.015,10133,5657.0,2000,10,6,4,0,23,101,19,73.92756585907738,73.92756585907738
8.041,8.0,324,1870.0,2022,10,27,3,0,1,150,18,46.2706014586379,46.2706014586379
